variant,jellyfin_version,config,trial,p50_ms,p95_ms,req_s
bare-metal,10.11.11+deb13,default,1,32.61,52.16,958.1
bare-metal,10.11.11+deb13,default,2,31.79,49.59,991.5
bare-metal,10.11.11+deb13,default,3,32.5,51.54,967.3
bare-metal,10.11.11+deb13,default,4,33.35,52.48,943.7
bare-metal,10.11.11+deb13,default,5,30.13,50.4,1016.1
container-bridge,10.11.11,default,1,26.23,49.23,1111.2
container-bridge,10.11.11,default,2,25.23,44.78,1184.6
container-bridge,10.11.11,default,3,25.34,46.77,1158.5
container-bridge,10.11.11,default,4,25.05,46.29,1169.6
container-bridge,10.11.11,default,5,24.07,43.39,1224.1
container-host,10.11.11,default,1,33.45,53.69,932.8
container-host,10.11.11,default,2,32.61,52.84,946.6
container-host,10.11.11,default,3,35.33,54.6,902.4
container-host,10.11.11,default,4,31.08,51.37,999.0
container-host,10.11.11,default,5,32.71,51.54,962.9
