start_utc,end_utc,type,duration_s
2026-06-17T09:49:47.777876,2026-06-17T09:52:39.790811,io,172
2026-06-17T09:58:16.779918,2026-06-17T10:01:19.788605,io,183
2026-06-17T10:10:51.767471,2026-06-17T10:14:08.774137,io,197
2026-06-17T10:23:54.753360,2026-06-17T10:27:33.757417,memory,219
2026-06-17T10:37:14.737177,2026-06-17T10:39:54.750747,network,160
2026-06-17T10:49:34.731217,2026-06-17T10:52:49.723702,memory,194
2026-06-17T10:58:51.725805,2026-06-17T11:01:56.735267,memory,185
2026-06-17T11:09:59.721798,2026-06-17T11:13:18.783996,cpu,199
2026-06-17T11:23:14.760516,2026-06-17T11:25:57.782806,io,163
2026-06-17T11:32:15.770929,2026-06-17T11:35:16.825042,cpu,181
2026-06-17T11:41:47.808435,2026-06-17T11:43:48.814324,memory,121
2026-06-17T11:52:09.794926,2026-06-17T11:56:00.807543,io,231
2026-06-17T12:02:38.793268,2026-06-17T12:04:56.801308,io,138
2026-06-17T12:10:02.790501,2026-06-17T12:13:08.845853,cpu,186
2026-06-17T12:21:18.827746,2026-06-17T12:25:08.838824,memory,230
2026-06-17T12:30:59.826059,2026-06-17T12:33:25.842283,memory,146
2026-06-17T12:38:53.831209,2026-06-17T12:42:09.842647,network,196
2026-06-17T12:51:15.822991,2026-06-17T12:53:54.877255,cpu,159
2026-06-17T13:03:25.857398,2026-06-17T13:05:46.870831,cpu,141
2026-06-17T13:11:39.858654,2026-06-17T13:15:12.872023,memory,213
2026-06-17T13:24:12.853623,2026-06-17T13:27:38.865837,network,206
2026-06-17T13:34:01.852507,2026-06-17T13:37:28.903918,cpu,207
2026-06-17T13:45:22.885824,2026-06-17T13:48:25.900399,network,183
2026-06-17T13:55:48.884097,2026-06-17T13:59:24.886226,memory,216
2026-06-17T14:08:31.857016,2026-06-17T14:12:20.860116,memory,229
2026-06-17T14:17:26.842664,2026-06-17T14:19:47.856699,network,141
2026-06-17T14:29:37.826440,2026-06-17T14:31:51.829774,network,134
2026-06-17T14:37:39.812417,2026-06-17T14:40:02.822229,memory,143
2026-06-17T14:47:14.801495,2026-06-17T14:50:53.810588,io,219
2026-06-17T14:56:47.795496,2026-06-17T14:59:24.795854,network,157
2026-06-17T15:05:29.777887,2026-06-17T15:08:48.796670,io,199
2026-06-17T15:17:42.770630,2026-06-17T15:20:32.770525,network,169
2026-06-17T15:29:23.744603,2026-06-17T15:31:34.818149,cpu,131
2026-06-17T15:38:22.798438,2026-06-17T15:40:25.804129,io,123
2026-06-17T15:47:40.785355,2026-06-17T15:49:50.869299,cpu,130
2026-06-17T15:57:47.847337,2026-06-17T16:00:34.856145,memory,167
2026-06-17T16:09:50.832117,2026-06-17T16:12:09.850623,io,139
2026-06-17T16:17:51.836361,2026-06-17T16:20:51.844716,memory,180
2026-06-17T16:29:53.820768,2026-06-17T16:32:00.889130,cpu,127
2026-06-17T16:38:53.870559,2026-06-17T16:41:11.885481,network,138
